symbol,industry,sector,volume,pe_ratio,pb_ratio,dividend_yield,pe_comp,pb_comp,div_comp,value_metric,buy_to_sell_ratio
PEP,Food: Specialty/Candy,Consumer Non-Durables,5086133.000000,24.202541,9.85871,3.692408,0,0,1.2308026666666667,1.231,10.0
WEN,Restaurants,Consumer Services,6230949.000000,8.110014,11.1877,8.115942,3.7348887437185683,1.9432054845946887,2.705314,8.383,4.0
GLOO,Packaged Software,Technology Services,32339.000000,-3.09,3.95787,0.0,0,2.273950382402656,0,2.274,6.0
CASS,Miscellaneous Commercial Services,Commercial Services,86304.000000,18.048465,2.5161,2.659911,0,0,0,0,
TU,Wireless Telecommunications,Communications,5622861.000000,23.332693,1.63403,9.950697,1.5428994844272799,3.0599193405261835,3.316899,7.92,9.0
CEW,Investment Trusts Or Mutual Funds,Miscellaneous,1391.000000,,,0.1474,0,0,0,0,
GDDY,Data Processing Services,Technology Services,2389993.000000,13.55747,52.8426,0.0,1.2974397140469422,0,0,1.297,11.0
AKRE,Investment Trusts Or Mutual Funds,Miscellaneous,1215263.000000,34.91785,4.638651,0.5192,0,0,0,0,
PNFP,Regional Banks,Finance,1681606.000000,13.597718,1.0735,1.242363,1.103126274570483,2.328830926874709,0,3.432,14.0
EQNR,Integrated Oil,Energy Minerals,4072382.000000,19.503819,2.35341,2.864652,0,1.0622883390484448,0,1.062,0.0
HON,Aerospace & Defense,Electronic Technology,3745543.000000,30.058402,9.88713,2.188163,0,0,0,0,16.0
PCQ,Investment Trusts/Mutual Funds,Miscellaneous,40201.000000,15.073655,0.886472,4.909091,0,2.82016803689231,1.6363636666666668,4.457,
PDS,Contract Drilling,Industrial Services,97631.000000,977.249747,1.0816,0.0,0,2.311390532544379,0,2.311,8.0
ADBE,Packaged Software,Technology Services,4603750.000000,13.940199,8.4982,0.0,2.654194534812595,1.059047798357299,0,3.713,17.0
IFRX,Biotechnology,Health Technology,4090445.000000,-1.54,2.38476,0.0,0,2.0043945722001375,0,2.004,6.0
REGN,Pharmaceuticals: Major,Health Technology,557875.000000,17.94627,2.51744,0.480898,4.457750830674007,2.065590441083005,0,6.523,24.0
AMD,Semiconductors,Electronic Technology,42777387.000000,126.285003,8.65803,0.0,0,1.6135310226460293,0,1.614,44.0
MBGYY,Motor Vehicles,Consumer Durables,491422.000000,9.641056,0.508044,5.563905,1.27579385494701,9.054333876593365,1.854635,12.185,11.0
QURE,Biotechnology,Health Technology,823938.000000,-5.14,5.60997,0.0,0,0,0,0,10.0
DBX,Packaged Software,Technology Services,3166119.000000,12.830006,-3.2315,0.0,2.8838645905543614,0,0,2.884,1.0
ALKS,Pharmaceuticals: Major,Health Technology,1642374.000000,23.552825,3.07038,0.0,3.3966201506613327,1.693601443469538,0,5.09,14.0
SITM,Semiconductors,Electronic Technology,310277.000000,-300.76,12.4646,0.0,0,1.1207740320587904,0,1.121,9.0
ACLS,Industrial Machinery,Producer Manufacturing,830799.000000,36.204172,4.08085,0.0,0,0,0,0,3.0
STE,Medical Specialties,Health Technology,492143.000000,30.740602,3.04659,1.107161,1.1385593554739104,1.6805674541044249,0,2.819,7.0
TE,Electrical Products,Producer Manufacturing,13116940.000000,-2.57,5.64713,0.0,0,0,0,0,
AJNMY,Food: Specialty/Candy,Consumer Non-Durables,26299.000000,56.151691,6.10677,0.660119,0,0,0,0,9.0
BAYRY,Pharmaceuticals: Major,Health Technology,1193313.000000,-9.65,1.45216,0.203596,0,3.580872631115029,0,3.581,13.0
SUB,Investment Trusts Or Mutual Funds,Miscellaneous,338805.000000,,,0.7665,0,0,0,0,
DBVT,Pharmaceuticals: Major,Health Technology,160898.000000,-3.87,5.69273,0.0,0,0,0,0,7.0
PRKS,Movies/Entertainment,Consumer Services,924627.000000,11.190593,-4.0166,0.0,2.709418526792995,0,0,2.709,5.0
AXON,Aerospace & Defense,Electronic Technology,761627.000000,266.016916,9.95861,0.0,0,0,0,0,21.0
RBB,Regional Banks,Finance,80154.000000,10.196394,0.774634,2.656704,1.4711083153514861,3.2273305845082967,0,4.698,
HPE,Computer Processing Hardware,Electronic Technology,11254307.000000,-151.67,1.53523,1.904263,0,6.689551402721416,0,6.69,11.0
QDEL,Medical Specialties,Health Technology,2461045.000000,-0.74,0.434518,0.0,0,11.783171238015456,0,11.783,2.0
